<Header name=env>	06A	06A	06A	06A	06A
<Use>	data	data	data	data	data
<Format>	num	num	num	num	num
<Trait>	PlantHeight	EarHeight	EarLength	EarRowNumber	20KernelWeight
Z006E0088	180.0	100.0	NaN	NaN	NaN
Z006E0089	NaN	NaN	NaN	NaN	NaN
Z006E0090	155.0	55.0	NaN	NaN	NaN
Z006E0091	170.0	70.0	NaN	NaN	NaN
Z006E0092	165.0	85.0	NaN	NaN	NaN
Z006E0093	135.0	65.0	NaN	NaN	NaN
Z006E0094	135.0	75.0	NaN	NaN	NaN
Z006E0095	140.0	60.0	NaN	NaN	NaN
Z006E0096	NaN	NaN	NaN	NaN	NaN
Z006E0097	120.0	55.0	NaN	NaN	NaN
Z006E0098	195.0	115.0	NaN	NaN	NaN
Z006E0099	135.0	65.0	NaN	NaN	NaN
Z006E0100	115.0	60.0	NaN	NaN	NaN
Z006E0101	175.0	60.0	NaN	NaN	NaN
Z006E0102	145.0	65.0	NaN	NaN	NaN
Z006E0103	150.0	60.0	NaN	NaN	NaN
Z006E0104	110.0	55.0	NaN	NaN	NaN
Z006E0105	135.0	55.0	NaN	NaN	NaN
Z006E0106	145.0	60.0	NaN	NaN	NaN
Z006E0107	160.0	75.0	NaN	NaN	NaN
Z006E0108	135.0	60.0	NaN	NaN	NaN
Z006E0109	145.0	70.0	NaN	NaN	NaN
Z006E0110	NaN	75.0	NaN	NaN	NaN
Z006E0111	140.0	55.0	NaN	NaN	NaN
Z006E0112	105.0	40.0	NaN	NaN	NaN
Z006E0113	140.0	65.0	NaN	NaN	NaN
Z006E0114	155.0	90.0	NaN	NaN	NaN
Z006E0115	170.0	85.0	NaN	NaN	NaN
Z006E0116	175.0	95.0	NaN	NaN	NaN
Z006E0117	160.0	80.0	NaN	NaN	NaN
Z006E0118	155.0	60.0	NaN	NaN	NaN
Z006E0119	150.0	85.0	NaN	NaN	NaN
Z006E0120	145.0	60.0	NaN	NaN	NaN
Z006E0121	115.0	55.0	NaN	NaN	NaN
Z006E0122	130.0	40.0	NaN	NaN	NaN
Z006E0123	145.0	80.0	NaN	NaN	NaN
Z006E0124	135.0	70.0	NaN	NaN	NaN
Z006E0125	145.0	85.0	NaN	NaN	NaN
Z006E0126	140.0	55.0	NaN	NaN	NaN
Z006E0127	165.0	75.0	NaN	NaN	NaN
Z006E0128	170.0	100.0	NaN	NaN	NaN
Z006E0129	180.0	85.0	NaN	NaN	NaN
Z006E0130	145.0	65.0	NaN	NaN	NaN
Z006E0131	180.0	85.0	NaN	NaN	NaN
Z006E0132	145.0	65.0	NaN	NaN	NaN
Z006E0133	110.0	45.0	NaN	NaN	NaN
Z006E0134	150.0	60.0	NaN	NaN	NaN
Z006E0135	175.0	75.0	NaN	NaN	NaN
Z006E0136	190.0	95.0	NaN	NaN	NaN
Z006E0137	145.0	85.0	NaN	NaN	NaN
Z006E0138	130.0	75.0	NaN	NaN	NaN
Z006E0139	170.0	85.0	NaN	NaN	NaN
Z006E0140	165.0	80.0	NaN	NaN	NaN
Z006E0141	155.0	60.0	NaN	NaN	NaN
Z006E0142	165.0	75.0	NaN	NaN	NaN
Z006E0143	170.0	75.0	NaN	NaN	NaN
Z006E0144	105.0	50.0	NaN	NaN	NaN
Z006E0145	190.0	75.0	NaN	NaN	NaN
Z006E0146	135.0	50.0	NaN	NaN	NaN
Z006E0147	135.0	60.0	NaN	NaN	NaN
Z006E0148	180.0	80.0	NaN	NaN	NaN
Z006E0149	165.0	65.0	NaN	NaN	NaN
Z006E0150	165.0	105.0	NaN	NaN	NaN
Z006E0151	115.0	60.0	NaN	NaN	NaN
Z006E0152	130.0	55.0	NaN	NaN	NaN
Z006E0153	125.0	60.0	NaN	NaN	NaN
Z006E0154	165.0	70.0	NaN	NaN	NaN
Z006E0155	NaN	NaN	NaN	NaN	NaN
Z006E0156	115.0	45.0	NaN	NaN	NaN
Z006E0157	145.0	60.0	NaN	NaN	NaN
Z006E0158	130.0	75.0	NaN	NaN	NaN
Z006E0159	90.0	25.0	NaN	NaN	NaN
Z006E0160	125.0	75.0	NaN	NaN	NaN
Z006E0161	140.0	60.0	NaN	NaN	NaN
Z006E0162	135.0	55.0	NaN	NaN	NaN
Z006E0163	110.0	60.0	NaN	NaN	NaN
Z006E0164	160.0	70.0	NaN	NaN	NaN
Z006E0165	135.0	70.0	NaN	NaN	NaN
Z006E0166	140.0	65.0	NaN	NaN	NaN
Z006E0167	115.0	60.0	NaN	NaN	NaN
Z006E0168	130.0	70.0	NaN	NaN	NaN
Z006E0169	160.0	50.0	NaN	NaN	NaN
Z006E0170	NaN	NaN	NaN	NaN	NaN
Z006E0171	170.0	90.0	NaN	NaN	NaN
Z006E0172	130.0	50.0	NaN	NaN	NaN
Z006E0173	150.0	70.0	NaN	NaN	NaN
Z006E0174	130.0	45.0	NaN	NaN	NaN
Z006E0175	160.0	75.0	NaN	NaN	NaN
Z006E0176	170.0	95.0	NaN	NaN	NaN
Z006E0177	155.0	75.0	NaN	NaN	NaN
Z006E0178	170.0	80.0	NaN	NaN	NaN
Z006E0179	150.0	70.0	NaN	NaN	NaN
Z006E0180	120.0	70.0	NaN	NaN	NaN
Z006E0181	165.0	85.0	NaN	NaN	NaN
Z006E0182	125.0	70.0	NaN	NaN	NaN
Z006E0183	155.0	70.0	NaN	NaN	NaN
Z006E0184	105.0	45.0	NaN	NaN	NaN
Z006E0185	195.0	105.0	NaN	NaN	NaN
Z006E0186	105.0	45.0	NaN	NaN	NaN
Z006E0187	NaN	NaN	NaN	NaN	NaN
Z006E0188	125.0	55.0	NaN	NaN	NaN
Z006E0189	NaN	NaN	NaN	NaN	NaN
Z006E0190	170.0	90.0	NaN	NaN	NaN
Z006E0191	150.0	75.0	NaN	NaN	NaN
Z006E0192	125.0	60.0	NaN	NaN	NaN
Z006E0193	165.0	70.0	NaN	NaN	NaN
Z006E0194	180.0	90.0	NaN	NaN	NaN
Z006E0195	155.0	70.0	NaN	NaN	NaN
Z006E0196	100.0	NaN	NaN	NaN	NaN
Z006E0197	175.0	95.0	NaN	NaN	NaN
Z006E0198	155.0	85.0	NaN	NaN	NaN
Z006E0199	180.0	95.0	NaN	NaN	NaN
Z006E0200	170.0	90.0	NaN	NaN	NaN
Z006E0201	175.0	80.0	NaN	NaN	NaN
Z006E0202	137.0	75.0	NaN	NaN	NaN
Z006E0203	NaN	NaN	NaN	NaN	NaN
Z006E0204	NaN	NaN	NaN	NaN	NaN
Z006E0206	NaN	NaN	NaN	NaN	NaN
Z006E0215	NaN	NaN	NaN	NaN	NaN
Z006E0216	NaN	NaN	NaN	NaN	NaN
Z006E0219	NaN	NaN	NaN	NaN	NaN
Z006E0224	NaN	NaN	NaN	NaN	NaN
Z006E0225	NaN	NaN	NaN	NaN	NaN
Z006E0226	NaN	NaN	NaN	NaN	NaN
Z006E0228	NaN	NaN	NaN	NaN	NaN
Z006E0232	NaN	NaN	NaN	NaN	NaN
Z006E0233	NaN	NaN	NaN	NaN	NaN
Z006E0255	NaN	NaN	NaN	NaN	NaN
Z007E0001	190.0	90.0	115.0	14.0	3.2
Z007E0002	180.0	85.0	172.0	14.0	4.1
Z007E0003	160.0	75.0	135.0	12.0	3.3
Z007E0004	175.0	95.0	167.0	16.0	3.0
Z007E0005	190.0	110.0	103.0	12.0	2.7
Z007E0006	200.0	100.0	224.0	18.0	4.0
Z007E0007	160.0	70.0	165.0	16.0	4.2
Z007E0008	150.0	50.0	81.0	12.0	1.1
Z007E0009	NaN	NaN	NaN	NaN	NaN
Z007E0010	170.0	90.0	NaN	NaN	NaN
Z007E0011	155.0	70.0	148.0	12.0	4.0
Z007E0012	185.0	120.0	146.0	16.0	3.2
Z007E0013	165.0	75.0	136.0	14.0	2.6
Z007E0014	155.0	80.0	119.0	18.0	2.9
Z007E0015	145.0	75.0	134.0	16.0	3.1
Z007E0016	NaN	NaN	NaN	NaN	NaN
Z007E0017	185.0	90.0	145.0	14.0	3.9
Z007E0018	195.0	115.0	NaN	NaN	NaN
Z007E0019	135.0	75.0	122.0	14.0	2.1
Z007E0020	160.0	90.0	158.5	14.0	2.8
Z007E0021	NaN	NaN	NaN	NaN	NaN
Z007E0022	150.0	65.0	148.0	14.0	5.1
Z007E0023	195.0	115.0	NaN	16.0	2.4
Z007E0024	175.0	80.0	147.0	12.0	4.5
Z007E0025	180.0	90.0	188.0	16.0	6.4
Z007E0026	175.0	80.0	131.0	14.0	3.7
Z007E0027	NaN	NaN	159.0	16.0	4.7
Z007E0028	165.0	90.0	150.0	12.0	3.0
Z007E0029	135.0	60.0	144.0	16.0	4.2
Z007E0030	160.0	70.0	139.0	16.0	4.3
Z007E0031	180.0	95.0	147.0	16.0	2.0
Z007E0032	160.0	95.0	137.0	12.0	3.6
Z007E0033	165.0	95.0	NaN	NaN	NaN
Z007E0034	155.0	85.0	138.0	16.0	4.1
Z007E0035	NaN	172.5	147.0	12.0	3.5
Z007E0036	NaN	NaN	NaN	NaN	NaN
Z007E0037	170.0	85.0	NaN	NaN	NaN
Z007E0038	NaN	NaN	NaN	NaN	NaN
Z007E0039	NaN	NaN	NaN	NaN	NaN
Z007E0040	NaN	NaN	NaN	NaN	NaN
Z007E0041	150.0	80.0	151.0	12.0	4.4
Z007E0042	180.0	75.0	128.0	16.0	2.5
Z007E0043	180.0	75.0	139.0	14.0	1.8
Z007E0044	180.0	100.0	122.0	16.0	4.7
Z007E0045	160.0	70.0	185.0	14.0	3.8
Z007E0046	160.0	85.0	128.0	12.0	2.3
Z007E0047	200.0	125.0	157.0	14.0	5.4
Z007E0048	190.0	85.0	150.0	16.0	2.6
Z007E0049	175.0	70.0	155.0	16.0	4.7
Z007E0050	200.0	125.0	160.0	18.0	3.5
Z007E0051	175.0	85.0	166.0	16.0	2.6
Z007E0052	200.0	120.0	NaN	12.0	1.8
Z007E0053	180.0	100.0	205.0	12.0	4.4
Z007E0054	155.0	75.0	NaN	18.0	2.0
Z007E0055	200.0	125.0	124.0	12.0	3.0
Z007E0056	170.0	85.0	139.0	14.0	3.6
Z007E0057	170.0	80.0	135.0	18.0	3.5
Z007E0058	200.0	115.0	156.0	16.0	3.6
Z007E0059	175.0	95.0	172.0	14.0	3.3
Z007E0060	200.0	120.0	174.5	18.0	6.4
Z007E0061	180.0	105.0	178.0	18.0	4.5
Z007E0062	195.0	110.0	NaN	NaN	3.9
Z007E0063	175.0	95.0	181.0	14.0	3.5
Z007E0064	175.0	80.0	192.0	14.0	2.6
Z007E0065	180.0	110.0	155.0	16.0	3.3
Z007E0066	160.0	85.0	172.0	18.0	2.9
Z007E0067	165.0	65.0	173.0	22.0	2.3
Z007E0068	200.0	115.0	159.0	18.0	2.9
Z007E0069	160.0	85.0	176.0	18.0	3.0
Z007E0070	190.0	105.0	180.0	16.0	4.2
Z007E0071	NaN	NaN	NaN	NaN	NaN
Z007E0072	185.0	95.0	182.0	13.0	4.1
Z007E0073	170.0	95.0	134.0	16.0	2.6
Z007E0074	175.0	70.0	151.0	14.0	2.9
Z007E0075	170.0	85.0	139.0	12.0	5.5
Z007E0076	145.0	80.0	158.0	14.0	1.8
Z007E0077	155.0	85.0	114.0	16.0	2.1
Z007E0078	NaN	NaN	NaN	NaN	NaN
Z007E0079	180.0	100.0	136.0	12.0	2.7
Z007E0080	200.0	115.0	152.0	14.0	3.3
Z007E0081	185.0	115.0	NaN	NaN	3.3
Z007E0082	185.0	100.0	139.0	20.0	4.3
Z007E0083	170.0	100.0	146.0	14.0	2.5
Z007E0084	225.0	130.0	130.0	14.0	2.0
Z007E0085	185.0	125.0	NaN	NaN	2.6
Z007E0086	175.0	95.0	125.0	16.0	NaN
Z007E0087	175.0	75.0	156.0	18.0	2.1
Z007E0088	NaN	NaN	87.0	12.0	1.45
Z007E0089	170.0	110.0	119.0	14.0	2.8
Z007E0090	180.0	100.0	139.0	16.0	3.5
Z007E0091	163.3333333	115.0	161.0	14.0	4.3
Z007E0092	170.0	95.0	163.0	14.0	4.5
Z007E0093	190.0	95.0	NaN	18.0	3.2
Z007E0094	175.0	95.0	125.0	16.0	2.4
Z007E0095	180.0	120.0	130.0	12.0	2.8
Z007E0096	145.0	70.0	146.0	16.0	1.6
Z007E0097	130.0	65.0	152.0	16.0	4.2
Z007E0098	165.0	100.0	124.0	16.0	2.1
Z007E0099	145.0	75.0	164.0	18.0	4.0
Z007E0100	160.0	95.0	141.0	18.0	3.3
Z007E0101	NaN	NaN	146.0	12.0	1.8
Z007E0102	175.0	90.0	140.0	10.0	2.9
Z007E0103	235.0	150.0	127.0	12.0	4.1
Z007E0104	165.0	105.0	104.0	18.0	1.3
Z007E0105	170.0	80.0	141.0	12.0	2.1
Z007E0106	140.0	65.0	NaN	NaN	NaN
Z007E0107	180.0	90.0	130.0	18.0	3.8
Z007E0108	180.0	110.0	139.0	14.0	2.7
Z007E0109	170.0	80.0	141.5	13.0	2.85
Z007E0110	165.0	80.0	132.0	16.0	2.0
Z007E0111	175.0	110.0	145.0	14.0	3.4
Z007E0112	NaN	NaN	NaN	NaN	NaN
Z007E0113	170.0	75.0	180.0	16.0	2.4
Z007E0114	185.0	100.0	144.0	14.0	3.5
Z007E0115	180.0	85.0	138.0	16.0	5.5
Z007E0116	185.0	80.0	106.0	16.0	2.2
Z007E0117	190.0	105.0	137.0	14.0	4.0
Z007E0118	155.0	70.0	144.0	14.0	3.7
Z007E0119	175.0	105.0	173.0	12.0	1.1
Z007E0120	165.0	105.0	131.0	16.0	1.3
Z007E0121	145.0	75.0	145.0	12.0	2.2
Z007E0122	195.0	105.0	183.0	18.0	4.4
Z007E0123	185.0	90.0	NaN	NaN	NaN
Z007E0124	155.0	85.0	141.0	14.0	2.1
Z007E0125	150.0	90.0	NaN	NaN	NaN
Z007E0126	215.0	125.0	141.0	16.0	3.9
Z007E0127	160.0	60.0	164.0	20.0	3.2
Z007E0128	NaN	NaN	92.0	14.0	2.2
Z007E0129	195.0	110.0	152.0	13.0	3.8
Z007E0130	NaN	NaN	NaN	NaN	NaN
Z007E0131	180.0	80.0	163.0	14.0	4.0
Z007E0132	175.0	90.0	167.0	14.0	3.5
Z007E0133	200.0	110.0	142.0	18.0	2.4
Z007E0134	180.0	100.0	207.0	18.0	4.1
Z007E0135	210.0	120.0	126.0	12.0	3.7
Z007E0136	190.0	115.0	130.0	16.0	2.2
Z007E0137	205.0	110.0	134.0	14.0	3.7
Z007E0138	195.0	120.0	151.0	12.0	3.5
Z007E0139	170.0	95.0	144.0	12.0	2.1
Z007E0140	180.0	115.0	131.0	20.0	3.4
Z007E0141	NaN	NaN	NaN	NaN	NaN
Z007E0142	180.0	85.0	138.0	16.0	3.0
Z007E0143	180.0	120.0	126.0	16.0	2.3
Z007E0144	180.0	105.0	162.0	14.0	2.5
Z007E0145	160.0	85.0	137.0	12.0	2.7
Z007E0146	175.0	90.0	151.0	16.0	2.5
Z007E0147	195.0	110.0	153.0	16.0	3.7
Z007E0148	190.0	130.0	174.0	14.0	3.3
Z007E0149	185.0	125.0	130.0	15.0	2.15
Z007E0150	185.0	100.0	145.0	14.0	NaN
Z007E0151	185.0	105.0	163.0	18.0	3.4
Z007E0152	190.0	100.0	167.0	14.0	2.3
Z007E0153	185.0	95.0	164.0	14.0	3.0
Z007E0154	200.0	130.0	186.0	12.0	4.8
Z007E0155	180.0	90.0	123.0	12.0	5.1
Z007E0156	NaN	NaN	NaN	NaN	NaN
Z007E0157	200.0	125.0	103.0	12.0	3.7
Z007E0158	180.0	100.0	118.0	16.0	1.6
Z007E0159	190.0	110.0	158.0	16.0	3.7
Z007E0160	180.0	85.0	147.0	16.0	2.2
Z007E0161	195.0	105.0	163.0	14.0	4.0
Z007E0162	170.0	90.0	116.0	14.0	4.2
Z007E0163	145.0	80.0	169.0	16.0	2.0
Z007E0164	NaN	NaN	101.0	14.0	1.5
Z007E0165	180.0	100.0	163.0	16.0	3.5
Z007E0166	NaN	NaN	NaN	NaN	NaN
Z007E0167	180.0	85.0	174.0	14.0	4.1
Z007E0168	190.0	110.0	NaN	12.0	2.1
Z007E0169	160.0	85.0	143.0	18.0	2.8
Z007E0170	210.0	110.0	148.0	18.0	3.0
Z007E0171	NaN	NaN	137.0	12.0	1.8
Z007E0172	200.0	90.0	153.0	16.0	3.5
Z007E0173	165.0	80.0	144.0	18.0	2.6
Z007E0174	200.0	100.0	197.5	16.0	5.2
Z007E0175	180.0	90.0	175.0	16.0	2.7
Z007E0176	185.0	85.0	166.0	16.0	3.7
Z007E0177	165.0	80.0	178.0	12.0	3.2
Z007E0178	145.0	50.0	134.0	12.0	4.1
Z007E0179	150.0	65.0	155.0	16.0	3.2
Z007E0180	195.0	115.0	118.0	18.0	1.8
Z007E0181	NaN	NaN	NaN	NaN	NaN
Z007E0182	170.0	100.0	138.0	16.0	2.2
Z007E0183	165.0	105.0	NaN	NaN	2.2
Z007E0184	150.0	70.0	143.0	14.0	2.5
Z007E0185	180.0	95.0	118.0	14.0	3.2
Z007E0186	190.0	90.0	152.0	12.0	4.4
Z007E0187	165.0	90.0	160.0	12.0	3.5
Z007E0188	150.0	85.0	154.0	16.0	3.3
Z007E0189	200.0	120.0	122.0	12.0	4.1
Z007E0190	205.0	95.0	NaN	NaN	2.7
Z007E0191	200.0	135.0	NaN	NaN	NaN
Z007E0192	180.0	90.0	175.0	12.0	4.4
Z007E0193	175.0	100.0	136.0	16.0	2.6
Z007E0194	200.0	115.0	137.0	14.0	2.9
Z007E0195	175.0	110.0	163.0	12.0	2.6
Z007E0196	180.0	110.0	126.0	12.0	2.7
Z007E0197	190.0	120.0	146.0	14.0	4.1
Z007E0198	155.0	85.0	98.0	14.0	1.9
Z007E0199	175.0	95.0	170.0	16.0	3.6
Z007E0200	155.0	80.0	136.0	10.0	2.7
Z007E0201	178.3333333	83.88888889	134.75	18.2	3.84
Z007E0202	NaN	NaN	122.0	12.33333333	1.66
Z007E0213	NaN	NaN	NaN	NaN	NaN
Z007E0217	NaN	NaN	NaN	NaN	NaN
Z007E0219	NaN	NaN	NaN	NaN	NaN
Z007E0223	NaN	NaN	NaN	NaN	NaN
Z007E0230	NaN	NaN	NaN	NaN	NaN
Z007E0284	NaN	NaN	NaN	NaN	NaN
Z008E0001	172.5	95.0	145.5	15.0	3.25
Z008E0002	NaN	NaN	115.0	14.0	1.9
Z008E0003	200.0	120.0	121.0	12.0	2.8
Z008E0004	220.0	125.0	131.0	12.0	3.4
Z008E0005	165.0	95.0	135.0	16.0	2.0
Z008E0006	165.0	70.0	146.0	16.0	3.0
Z008E0007	195.0	85.0	125.0	18.0	1.9
Z008E0008	160.0	85.0	131.0	18.0	2.5
Z008E0009	230.0	125.0	154.0	14.0	5.4
Z008E0010	205.0	120.0	140.0	12.0	4.6
Z008E0011	185.0	100.0	152.0	12.0	2.4
Z008E0012	210.0	135.0	151.0	16.0	1.7
Z008E0013	195.0	87.5	149.0	12.0	2.1
Z008E0014	225.0	140.0	106.0	12.0	2.6
Z008E0015	200.0	110.0	142.0	12.0	2.0
Z008E0016	125.0	50.0	117.0	14.0	1.0
Z008E0017	180.0	82.5	126.0	12.0	3.5
Z008E0018	202.5	117.5	97.0	14.0	1.9
Z008E0019	235.0	135.0	113.5	16.0	3.8
Z008E0020	130.0	67.5	131.5	16.0	1.4
Z008E0021	NaN	NaN	NaN	NaN	NaN
Z008E0022	140.0	75.0	NaN	NaN	NaN
Z008E0023	200.0	102.5	120.5	15.0	2.45
Z008E0024	135.0	75.0	100.0	12.0	2.4
Z008E0025	NaN	NaN	NaN	NaN	NaN
Z008E0026	190.0	105.0	NaN	NaN	NaN
Z008E0027	195.0	100.0	135.0	14.0	3.1
Z008E0028	175.0	95.0	NaN	NaN	NaN
Z008E0029	NaN	NaN	NaN	NaN	NaN
Z008E0030	170.0	100.0	NaN	NaN	NaN
Z008E0031	155.0	80.0	126.0	14.0	3.7
Z008E0032	155.0	75.0	136.0	14.0	2.2
Z008E0033	180.0	100.0	113.0	16.0	2.7
Z008E0034	195.0	95.0	126.0	12.0	3.0
Z008E0035	185.0	100.0	85.0	12.0	1.2
Z008E0036	210.0	100.0	119.0	16.0	3.0
Z008E0037	160.0	85.0	NaN	NaN	2.0
Z008E0038	162.5	87.5	137.0	18.0	2.1
Z008E0039	NaN	NaN	64.0	12.0	1.0
Z008E0040	160.0	92.5	NaN	NaN	NaN
Z008E0041	220.0	125.0	108.0	14.0	2.6
Z008E0042	155.0	90.0	154.0	NaN	2.4
Z008E0043	200.0	115.0	NaN	NaN	NaN
Z008E0044	155.0	75.0	128.0	14.0	2.5
Z008E0045	165.0	72.5	NaN	NaN	NaN
Z008E0046	NaN	NaN	86.0	18.0	2.0
Z008E0047	210.0	95.0	137.0	13.0	4.75
Z008E0048	160.0	75.0	107.0	14.0	2.1
Z008E0049	185.0	110.0	148.0	12.0	2.1
Z008E0050	NaN	NaN	NaN	NaN	NaN
Z008E0051	185.0	70.0	126.0	16.0	2.5
Z008E0052	145.0	80.0	101.0	16.0	2.75
Z008E0053	165.0	95.0	111.5	13.0	2.25
Z008E0054	NaN	NaN	104.0	15.0	1.9
Z008E0055	NaN	85.0	115.0	18.0	2.4
Z008E0056	215.0	125.0	135.0	16.0	2.6
Z008E0057	190.0	110.0	97.0	16.0	3.3
Z008E0058	160.0	75.0	143.0	14.0	3.1
Z008E0059	180.0	90.0	118.0	14.0	4.0
Z008E0060	205.0	120.0	156.0	12.0	4.3
Z008E0061	150.0	85.0	114.0	17.0	2.05
Z008E0062	165.0	115.0	130.0	16.0	2.1
Z008E0063	170.0	75.0	149.0	14.0	3.8
Z008E0064	185.0	105.0	145.0	18.0	3.1
Z008E0065	160.0	80.0	95.0	18.0	2.3
Z008E0066	200.0	105.0	NaN	NaN	NaN
Z008E0067	NaN	NaN	NaN	NaN	NaN
Z008E0068	NaN	NaN	129.0	14.0	2.9
Z008E0069	130.0	60.0	105.0	16.0	3.0
Z008E0070	195.0	95.0	NaN	NaN	3.0
Z008E0071	165.0	100.0	105.0	14.0	1.4
Z008E0072	185.0	100.0	157.0	12.0	2.5
Z008E0073	210.0	127.5	122.0	15.0	2.25
Z008E0074	180.0	100.0	NaN	NaN	NaN
Z008E0075	195.0	105.0	152.0	14.0	1.8
Z008E0076	205.0	95.0	NaN	13.0	2.8
Z008E0077	NaN	NaN	153.0	14.0	3.1
Z008E0078	195.0	120.0	118.0	14.0	3.4
Z008E0079	155.0	85.0	135.0	12.0	3.0
Z008E0080	180.0	80.0	187.0	16.0	3.5
Z008E0081	167.5	102.5	125.0	15.0	3.0
Z008E0082	180.0	82.5	92.0	10.0	2.2
Z008E0083	160.0	80.0	185.0	16.0	3.2
Z008E0084	190.0	95.0	128.5	18.0	2.0
Z008E0085	160.0	80.0	151.0	18.0	2.9
Z008E0086	140.0	85.0	NaN	NaN	NaN
Z008E0087	150.0	70.0	NaN	NaN	NaN
Z008E0088	145.0	70.0	NaN	NaN	NaN
Z008E0089	205.0	105.0	119.0	16.0	2.5
Z008E0090	175.0	90.0	159.0	14.0	3.7
Z008E0091	155.0	92.5	148.0	17.0	2.9
Z008E0092	185.0	95.0	149.0	16.0	1.8
Z008E0093	205.0	105.0	157.0	18.0	2.8
Z008E0094	185.0	90.0	103.0	12.0	4.7
Z008E0095	NaN	NaN	NaN	NaN	NaN
Z008E0096	165.0	90.0	154.0	16.0	4.4
Z008E0097	185.0	110.0	87.0	18.0	2.8
Z008E0098	200.0	110.0	133.0	18.0	2.5
Z008E0099	200.0	95.0	143.0	14.0	9.8
Z008E0100	155.0	85.0	131.0	18.0	1.7
Z008E0101	175.0	95.0	126.0	12.0	2.1
Z008E0102	170.0	100.0	152.0	14.0	3.4
Z008E0103	175.0	105.0	116.0	18.0	2.2
Z008E0104	152.5	97.5	118.0	14.0	2.3
Z008E0105	NaN	NaN	100.0	14.0	1.3
Z008E0106	182.5	102.5	138.0	12.0	4.7
Z008E0107	NaN	NaN	NaN	NaN	2.4
Z008E0108	180.0	90.0	133.0	18.0	2.2
Z008E0109	NaN	NaN	NaN	NaN	NaN
Z008E0110	175.0	100.0	122.0	14.0	3.1
Z008E0111	NaN	NaN	139.0	16.0	2.1
Z008E0112	180.0	95.0	164.0	14.0	2.6
Z008E0113	130.0	70.0	113.0	18.0	1.8
Z008E0114	172.5	90.0	118.0	NaN	1.9
Z008E0115	145.0	85.0	159.0	18.0	2.6
Z008E0116	180.0	85.0	131.0	14.0	3.1
Z008E0117	190.0	95.0	NaN	NaN	NaN
Z008E0118	195.0	125.0	137.0	10.0	3.2
Z008E0119	180.0	100.0	146.0	14.0	2.2
Z008E0120	205.0	110.0	157.5	14.0	2.35
Z008E0121	180.0	95.0	157.0	NaN	2.8
Z008E0122	180.0	90.0	135.0	14.0	2.2
Z008E0123	185.0	95.0	136.0	18.0	2.0
Z008E0124	170.0	95.0	107.0	14.0	3.2
Z008E0125	155.0	87.5	135.0	12.0	2.8
Z008E0126	160.0	80.0	123.0	14.0	2.6
Z008E0127	180.0	100.0	117.0	14.0	4.8
Z008E0128	165.0	100.0	129.0	18.0	2.6
Z008E0129	NaN	NaN	120.0	18.0	2.1
Z008E0130	165.0	95.0	143.0	14.0	2.9
Z008E0131	NaN	NaN	NaN	NaN	NaN
Z008E0132	NaN	NaN	NaN	NaN	NaN
Z008E0133	140.0	65.0	93.0	16.0	2.8
Z008E0134	170.0	105.0	135.0	16.0	3.1
Z008E0135	185.0	127.5	123.0	14.0	2.0
Z008E0136	175.0	110.0	143.0	16.0	3.7
Z008E0137	130.0	60.0	113.0	16.0	1.4
Z008E0138	192.5	95.0	118.0	16.0	3.6
Z008E0139	NaN	NaN	NaN	NaN	NaN
Z008E0140	NaN	NaN	NaN	NaN	NaN
Z008E0141	190.0	107.5	149.0	16.0	3.7
Z008E0142	185.0	110.0	157.0	14.0	3.3
Z008E0143	NaN	NaN	NaN	NaN	NaN
Z008E0144	170.0	95.0	NaN	NaN	NaN
Z008E0145	190.0	100.0	155.0	16.0	2.4
Z008E0146	NaN	NaN	111.0	14.0	2.0
Z008E0147	130.0	85.0	128.0	14.0	1.2
Z008E0148	215.0	160.0	104.0	10.0	2.9
Z008E0149	180.0	105.0	131.0	12.0	1.5
Z008E0150	160.0	80.0	107.0	16.0	4.3
Z008E0151	162.5	70.0	NaN	NaN	NaN
Z008E0152	170.0	100.0	157.0	14.0	2.0
Z008E0153	155.0	85.0	NaN	NaN	3.4
Z008E0154	130.0	80.0	112.0	16.0	2.8
Z008E0155	140.0	65.0	NaN	NaN	NaN
Z008E0156	190.0	95.0	114.0	14.0	7.8
Z008E0157	135.0	60.0	138.0	18.0	2.6
Z008E0158	160.0	95.0	167.0	14.0	2.1
Z008E0159	195.0	95.0	121.0	18.0	2.9
Z008E0160	140.0	65.0	86.0	18.0	1.9
Z008E0161	170.0	100.0	137.0	14.0	2.4
Z008E0162	192.5	132.5	NaN	NaN	NaN
Z008E0163	NaN	NaN	118.0	12.0	1.2
Z008E0164	135.0	70.0	63.0	16.0	2.5
Z008E0165	172.5	105.0	142.0	13.0	3.0
Z008E0166	210.0	145.0	127.0	14.0	2.8
Z008E0167	160.0	77.5	143.0	14.0	3.45
Z008E0168	175.0	90.0	135.0	16.0	3.0
Z008E0169	185.0	110.0	136.0	14.0	3.4
Z008E0170	140.0	65.0	202.0	12.0	2.4
Z008E0171	180.0	100.0	NaN	NaN	NaN
Z008E0172	NaN	NaN	NaN	NaN	1.2
Z008E0173	172.5	80.0	NaN	NaN	NaN
Z008E0174	195.0	90.0	118.0	14.0	3.4
Z008E0175	145.0	85.0	117.0	14.0	2.4
Z008E0176	180.0	95.0	119.0	18.0	2.3
Z008E0177	160.0	85.0	116.0	16.0	9.05
Z008E0178	170.0	85.0	127.5	14.0	2.5
